epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4288.65,1.47376,1.1058,1.37733,0.81687,0.69329,0.78787,0.34985,1.93197,1.3199,1.72914,0.000990365,0.000990365,0.000990365
43,4378.9,1.47084,1.11562,1.38521,0.78062,0.74871,0.79571,0.35484,1.9176,1.25275,1.72472,0.000973861,0.000973861,0.000973861
44,4469.68,1.4473,1.06418,1.34878,0.82627,0.72586,0.81944,0.36586,1.92194,1.24481,1.71933,0.000957358,0.000957358,0.000957358
45,4560.49,1.43382,1.06478,1.33729,0.78889,0.73121,0.80199,0.35876,1.96101,1.27891,1.74576,0.000940855,0.000940855,0.000940855
46,4642.89,1.46305,1.05869,1.35761,0.81445,0.76787,0.82476,0.35621,1.99618,1.21611,1.7579,0.000924352,0.000924352,0.000924352
47,4722.24,1.47983,1.08756,1.37254,0.79789,0.7218,0.78668,0.33451,1.98925,1.24004,1.77584,0.000907848,0.000907848,0.000907848
48,4802.74,1.43124,1.07057,1.35122,0.7227,0.74863,0.76018,0.30398,2.09964,1.32727,1.85659,0.000891345,0.000891345,0.000891345
49,4887.18,1.45708,1.06222,1.35558,0.8135,0.7411,0.81852,0.33826,1.98529,1.25259,1.79168,0.000874842,0.000874842,0.000874842
50,4972.87,1.4038,1.02825,1.32458,0.80612,0.73576,0.79812,0.35669,1.96302,1.24257,1.74997,0.000858338,0.000858338,0.000858338
51,5054,1.4163,1.03425,1.33833,0.82872,0.76278,0.82463,0.35287,1.99474,1.23966,1.79511,0.000841835,0.000841835,0.000841835
52,5141.48,1.37244,1.00374,1.32309,0.82903,0.75296,0.81692,0.36108,1.99941,1.20959,1.75823,0.000825332,0.000825332,0.000825332
53,5228.29,1.44351,1.02188,1.35947,0.81252,0.77233,0.83217,0.37494,1.98053,1.17122,1.75296,0.000808828,0.000808828,0.000808828
54,5312.56,1.40059,1.03778,1.33072,0.85077,0.75301,0.81515,0.37452,1.95751,1.21296,1.7461,0.000792325,0.000792325,0.000792325
55,5391.34,1.37174,0.95132,1.31598,0.82387,0.77837,0.8274,0.36944,1.95277,1.18248,1.75018,0.000775822,0.000775822,0.000775822
56,5474.96,1.34224,0.95036,1.30287,0.83004,0.75105,0.81926,0.37264,1.94387,1.19163,1.72621,0.000759318,0.000759318,0.000759318
57,5557.68,1.3856,0.95871,1.3053,0.82418,0.76389,0.8184,0.3639,1.9935,1.1896,1.75303,0.000742815,0.000742815,0.000742815
58,5644.13,1.38031,0.95192,1.33444,0.81975,0.79976,0.83395,0.3717,1.96883,1.16408,1.72166,0.000726312,0.000726312,0.000726312
59,5732.74,1.39458,1.01815,1.32942,0.83441,0.76232,0.8341,0.37442,1.92491,1.17464,1.71204,0.000709809,0.000709809,0.000709809
60,5870.66,1.34249,0.96852,1.3196,0.86443,0.77171,0.83517,0.37933,1.94403,1.17066,1.71277,0.000693305,0.000693305,0.000693305
61,5961.43,1.3089,0.90302,1.28046,0.82454,0.76267,0.82196,0.37298,2.02367,1.18944,1.74829,0.000676802,0.000676802,0.000676802
62,6054.22,1.33277,0.93036,1.29079,0.83825,0.75939,0.82979,0.3749,1.98954,1.16674,1.75295,0.000660299,0.000660299,0.000660299
63,6139.41,1.32528,0.91743,1.28634,0.81794,0.73667,0.80544,0.36881,1.96703,1.17109,1.75448,0.000643795,0.000643795,0.000643795
64,6231.29,1.29842,0.92556,1.28069,0.8188,0.78096,0.82725,0.37722,1.94753,1.14126,1.75032,0.000627292,0.000627292,0.000627292
